skills = 
{
	(id = 6, category = 7, cost = 0, name = "Frost", description = "", icon = 188)
	(id = 8, category = 7, cost = 0, name = "Feuer", description = "", icon = 183)
	(id = 26, category = 7, cost = 0, name = "Waffen", description = "", icon = 514)
	(id = 38, category = 7, cost = 0, name = "Kampf", description = "", icon = 243)
	(id = 39, category = 7, cost = 0, name = "Täuschung", description = "", icon = 250)
	(id = 40, category = 7, cost = 0, name = "Gifte", description = "", icon = 1)
	(id = 43, category = 6, cost = 0, name = "Schwerter", description = "Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.", icon = 1)
	(id = 44, category = 6, cost = 0, name = "Äxte", description = "Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.", icon = 1)
	(id = 45, category = 6, cost = 0, name = "Bögen", description = "Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.", icon = 1)
	(id = 46, category = 6, cost = 0, name = "Schusswaffen", description = "Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.", icon = 1)
	(id = 50, category = 7, cost = 0, name = "Tierherrschaft", description = "", icon = 255)
	(id = 51, category = 7, cost = 0, name = "Überleben", description = "", icon = 257)
	(id = 54, category = 6, cost = 0, name = "Streitkolben", description = "Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.", icon = 1)
	(id = 55, category = 6, cost = 0, name = "Zweihandschwerter", description = "Eine erhöhte Waffenfertigkeit steigert Eure Trefferchance.", icon = 1)
	(id = 56, category = 7, cost = 0, name = "Heilig", description = "", icon = 70)
	(id = 78, category = 7, cost = 0, name = "Schattenmagie", description = "", icon = 234)
	(id = 95, category = 6, cost = 0, name = "Verteidigung", description = "Eine höhere Verteidigungsfertigkeit erhöht die Chance, Angriffe zu parieren, blocken und ihnen auszuweichen, senkt die Chance des Gegners, Euch im Kampf zu treffen, und verringert die Wahrscheinlichkeit, durch einen kritischen Treffer verletzt zu werden.", icon = 1)
	(id = 98, category = 10, cost = 0, name = "Sprache: Gemeinsprache", description = "", icon = 1)
	(id = 101, category = 9, cost = 0, name = "Zwergenvolk", description = "", icon = 1)
	(id = 109, category = 10, cost = 0, name = "Sprache: Orcisch", description = "", icon = 1)
	(id = 111, category = 10, cost = 0, name = "Sprache: Zwergisch", description = "", icon = 1)
	(id = 113, category = 10, cost = 0, name = "Sprache: Darnassisch", description = "", icon = 1)
	(id = 115, category = 10, cost = 0, name = "Sprache: Taurisch", description = "", icon = 1)
	(id = 118, category = 6, cost = 0, name = "Beidhändigkeit", description = "", icon = 1)
	(id = 124, category = 9, cost = 0, name = "Taurenvolk", description = "", icon = 1)
	(id = 125, category = 9, cost = 0, name = "Orcvolk", description = "", icon = 1)
	(id = 126, category = 9, cost = 0, name = "Nachtelfenvolk", description = "", icon = 1)
	(id = 129, category = 9, cost = 0, name = "Erste Hilfe", description = "Eine hohe Fertigkeit in Erster Hilfe ermöglicht es, höherstufigere Fähigkeiten der Ersten Hilfe zu benutzen. Diese könnt Ihr bei Lehrern überall in der Welt erwerben. Manchmal erhaltet Ihr diese Fähigkeiten auch von toten Gegnern oder als Questbelohnung.", icon = 1)
